document_description,section_name,query
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,プッシュボタン錠の暗証番号を変更する方法を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,鍵の開錠番号を変えたいのですが、どうすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,暗証番号の設定手順を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,開錠番号をリセットする方法は？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,番号変更を始めるには、まず何をすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,番号を変更するとき、扉は開けておく必要がありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,錠前の裏側にあるカバーの外し方を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,封印シールは剥がしてもいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,カバーを外すために必要な道具は何ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,チェンジキーはどこにありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,チェンジキーが見つかりません。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,チェンジキーとは何ですか？どのような役割がありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,全てのツマミをリセット状態にするにはどうすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,リセット状態の時、ツマミはどの向きにすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,リセット時、上段（1～4番）のツマミの向きを教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,リセット時、下段（5～9番）のツマミの向きを教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミの向きを変更する方法を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,表のプッシュボタンを押しても、裏のツマミが出てきません。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミを回転させるにはどうすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,チェンジキーの正しい使い方を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミを180度回転させるときの注意点は何ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,プッシュボタンを深く押し込まないと、ツマミは回転しませんか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミが固くて回転しません。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミが溝に正しく合っているか確認する方法はありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,「C」ボタンは何のためにありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,新しい開錠番号を設定する具体的な手順を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,新しく設定したい番号のツマミは、どの向きにすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,開錠番号として使わない数字のツマミの向きは？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,開錠番号は何桁まで設定できますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,暗証番号は最大で何桁にできますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,暗証番号を「設定なし」にすることは可能ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,開錠番号に設定できない数字はありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,Cボタンと同じ番号を開錠番号に設定できますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,開錠番号のボタンを押す順番は関係ありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定作業が終わって扉を閉める前に、何を確認すべきですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,新しい番号が正しく設定されたかテストする方法を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定後の動作確認テストの手順を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,レバーを押してラッチが正常に動くか確認するにはどうすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ラッチがしっかり沈み込めば、設定は成功していますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,テスト中に番号を押し間違えた場合はどうすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,正しい開錠番号を押したのに、レバーが動きません。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,レバーが動かない場合、裏のツマミの向きが原因か確認する方法は？
